1,1982,2353,1806,2167,2001,5918
2,2410,4455,1730,4499,4959,4646
3,935,1984,5809,2457,967,1939
4,6420,4522,4388,6424,1777,938
5,1997,1994,5082,1710,1810,1108
6,1785,6886,1723,2765,6843,6317
7,5119,1769,5268,3184,6359,1847
8,5809,1810,4499,4786,4388,2167
9,5082,1723,1982,1984,6420,2457
10,4522,5119,1710,1939,2353,1730
11,6359,4646,1777,2765,1994,1785
12,6843,6886,4786,5268,6424,5918
13,3184,6317,935,1806,1108,2410
14,1769,1997,4455,967,1847,938
15,4959,1994,4388,2001,5268,1939
16,2410,4499,2765,6843,5119,1108
17,1984,2167,6424,5082,935,4455
18,1710,1806,6317,1777,1982,6886
19,6420,1785,3184,4522,4786,1730
20,2001,5809,2457,6359,1997,938
21,4646,967,1769,4959,1810,2353
22,4455,5918,1994,2765,1847,1723
23,1939,6424,1710,2410,935,2001
24,5268,1982,6420,967,6886,1997
25,1730,1108,938,1810,1806,1723
26,4522,1785,5809,4959,1769,5918
27,1847,2457,4646,4499,3184,2167
28,5119,4786,2353,6843,6359,1984
29,4388,5082,6424,4959,6317,1777
30,1997,2001,1710,935,4499,1785
31,1769,1982,1984,4646,2410,1994
32,2765,6420,1730,6317,1810,2457
33,5918,938,3184,1777,6843,2167
34,6886,1939,1847,967,1723,4786
35,2353,4455,1108,5809,5082,5119
36,4499,1806,4388,5268,6359,4522
37,2167,4959,2765,1723,3184,1997
38,1777,5918,1939,1769,935,1810
39,6317,6359,2353,2410,1710,6420
40,1994,4522,6843,2001,5082,967
41,5119,938,1984,4646,5268,1785
42,2457,1730,1806,4455,4786,6424
43,1108,5809,6886,4388,1847,1982
44,6317,6420,2167,1939,1984,1994
45,1997,2457,1777,4499,2353,6843
46,5918,1730,1847,938,5082,2410
47,1108,4959,935,6359,1982,4786
48,1769,4388,1710,1723,4646,5119
49,1785,4455,1810,6886,2001,3184
50,5809,2765,967,6424,4522,1806
51,5268,4499,1723,5082,5918,6420
52,6843,1997,935,4388,1730,4646
53,6317,967,1982,3184,6424,5119
54,1710,1847,4959,1806,1984,1777
55,5268,6886,1810,2353,2410,5809
56,2001,2765,4786,2167,2457,1769
57,1785,1108,6359,4522,4455,1939
58,938,2353,935,1994,6317,4499
59,1810,3184,2765,1806,5268,4959
60,5809,1777,6420,1730,2167,5119
61,6424,2410,1997,1994,1723,1769
62,1984,967,5918,1108,2001,4388
63,1847,6843,5082,1982,1939,1785
64,6886,4522,4646,4455,2457,6359
65,4786,3184,4959,938,1710,1994
66,1806,1785,6843,6420,1769,1108
67,1847,1984,6317,1810,1997,4522
68,4455,5268,2765,935,1710,1982
69,1730,6424,967,5918,4499,6359
70,2167,1939,5082,6886,4388,2353
71,1723,1777,2001,4786,4646,5809
72,2457,938,6843,5119,2410,4959
73,6424,935,6359,6420,1847,1810
74,1997,2167,5268,1777,1108,4522
75,1994,5119,2001,5918,1806,6886
76,1982,1730,4499,4388,2765,1984
77,2457,1723,2410,2353,1785,967
78,1939,6317,4786,4646,938,4455
79,5082,1710,4499,3184,5809,1769
80,1108,1994,5268,1785,4388,2457
81,1723,4959,4522,935,5119,6886
82,1984,4646,3184,2353,6420,6424
83,1810,5918,6843,1710,2167,4455
84,1847,1769,2001,1730,5809,6317
85,6359,967,2410,4786,1777,5082
86,938,1939,1806,1982,2765,1997
