1,7048,3134,4539,3277,3298,4239
2,525,1792,877,2220,2823,3313
3,3007,5658,6047,7235,5929,3275
4,5576,4009,7257,2538,4360,4818
5,5172,3292,3300,3367,4674,6175
6,1986,4198,3102,2500,2491,5638
7,3130,6453,3754,3883,876,2531
8,3750,4181,2472,6056,3292,2883
9,4360,3367,2823,4239,2491,5929
10,6175,4009,3130,4818,2220,1986
11,3883,2883,7257,4181,3007,7048
12,4674,3275,525,3750,3754,3298
13,876,3313,3300,2472,5172,2538
14,2500,4539,6056,877,7235,5576
15,5638,5658,1792,6453,3277,3134
16,2220,2531,3102,4360,4198,6047
17,3883,5576,3367,1986,2472,7235
18,7257,5638,3134,2883,2500,4674
19,3292,3277,4198,6453,525,4239
20,876,1792,5929,4181,3275,6175
21,6056,3007,4818,4539,3754,3313
22,2531,5172,3298,877,3750,2491
23,2823,3102,2538,5658,7048,4009
24,3130,6047,7235,3134,4239,3300
25,525,5576,2883,3298,5929,6175
26,3275,2538,6056,5172,5638,3277
27,2491,4360,876,4674,4818,6453
28,7048,2220,6047,3292,2500,5658
29,7257,3300,3750,3102,3754,3883
30,2823,2472,3007,2531,4198,3130
31,4181,877,3313,4009,1986,3367
32,1792,7257,2220,4539,3750,4674
33,525,7235,7048,2491,3130,5172
34,6175,877,5638,3754,2823,4181
35,4239,4818,2500,3275,2472,1792
36,2538,6453,3298,3292,3102,3007
37,2883,5658,3277,1986,3300,4360
38,4539,4009,876,5576,2531,6047
39,5929,3883,4198,3313,6056,3134
40,2472,3367,3292,5658,2823,7257
41,877,2538,3754,1792,4239,4360
42,3298,2883,1986,5172,7235,876
43,3300,6056,4181,4198,2491,2220
44,2500,3134,2531,4009,525,3102
45,3750,5929,4818,5638,7048,6453
46,3367,3313,3275,5576,3130,4539
47,3007,3277,4674,6047,6175,3883
48,7235,5638,3300,4009,1792,2531
49,6453,4539,4181,525,2823,5172
50,5658,4360,2472,3007,3298,3275
51,4198,6056,4239,7257,1986,6175
52,3102,2491,3277,4818,3313,5576
53,6047,4674,877,2883,3130,7048
54,3754,2500,5929,2220,2538,3883
55,3367,3134,4198,876,3750,3292
56,3298,4181,5576,3130,3300,1792
57,4818,4539,877,6453,3883,5658
58,3277,3275,1986,3134,4674,2472
59,2823,7235,2500,4360,3313,7257
60,5638,876,3754,2491,7048,3292
61,4239,5172,3750,5929,3007,4009
62,6175,2531,2883,6056,3102,3367
63,2472,2220,525,2538,6047,5638
64,3313,3883,2491,3298,5658,4198
65,7048,5576,2823,1986,3750,3007
66,2531,3367,4239,3277,2500,2220
67,6453,876,3102,1792,6056,7235
68,4674,3130,3292,4539,5929,2538
69,3300,6175,525,7257,877,3275
70,4818,6047,5172,3134,4181,4360
71,3754,4009,2491,2883,2472,4539
72,7257,3102,5929,3277,877,876
73,3750,3134,3130,2500,6175,4360
74,2538,3292,1986,7235,4818,2531
75,3007,3883,1792,5638,525,3367
76,3275,4239,2220,3313,6453,2883
77,4674,3298,6056,2823,6047,4009
78,4181,4198,5172,5658,3754,5576
79,7048,6175,3313,3300,2531,6453
80,4360,3275,4009,3292,4539,3883
81,3130,3298,5638,5172,7257,2500
82,5929,1986,2823,3300,4818,3754
83,7235,2538,3277,4198,2883,3750
84,3102,7048,2472,1792,4181,3367
85,4239,4674,5658,876,525,6056
86,5576,3007,2491,877,2220,3134
87,3367,7257,6453,6047,1986,2500
