id|matchNo|teamNo|autoCrossLineTry|autoCrossLineSuccess|autoBoxToSwitchTry|autoBoxToSwitchCount|autoBoxToWrongSwitchTry|autoBoxToWrongSwitchCount|autoBoxToScaleTry|autoBoxToScaleCount|autoBoxToWrongScaleTry|autoBoxToWrongScaleCount|autoEndWithNewCube|teleBoxToSwitchCount|teleBoxToScaleCount|teleBoxToOpponentSwitchCount|teleBoxToExchangeCount|teleDroppedBoxCount|teleDefenseType|tippedBot|deadBot|recoveredTippedBot|recoveredDeadBot|penaltyStandardFoul|penaltyTechnicalFoul|penaltyYellowCard|penaltyRedCard|endParked|endClimbedType|endClimbedRampSingle|endClimbedRampDouble|endClimbedExtendBar|endCubeAttainment|endScoringAbility|postComments
27|"10"|"1710"|0|0|0|1|0|0|0|0|0|0|0|0|4|0|1|1|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on high sc"|"stacked on scale when high"
28|"10"|"4522"|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|"Did not"|0|0|0|0|0|0|0|0|1|"Attempt"|0|0|0|"Only used cube they "|"Can score on switch"|"Were mostly wandering around aimlessly."
29|"10"|"5119"|1|1|1|1|0|0|0|0|0|0|0|1|1|0|0|1|"Did not"|0|0|0|0|0|0|0|0|0|"Center"|0|0|1|"Did not use cubes"|"Can not/did not use "|"good but slow grapple hook, v strong switch based auto"
30|"11"|"6359"|1|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|"Did not"|0|1|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Only used cube they "|"Can score on medium "|""
31|"11"|"1777"|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|"Did not"|0|1|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on switch"|"died late in match"
32|"11"|"1785"|1|1|0|0|0|0|0|0|0|0|0|2|0|0|0|0|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on switch"|""
33|"11"|"2765"|1|1|1|1|0|0|0|0|0|0|0|0|1|1|0|0|"Did not"|0|0|0|0|0|0|0|0|0|"Center"|0|0|0|"Picked up cubes from"|"Can score on high sc"|"slow"
34|"11"|"4646"|1|1|0|0|0|0|0|0|0|0|0|3|0|0|4|0|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on switch"|"strong support bot"
35|"11"|"1994"|0|0|0|0|0|0|0|0|0|0|0|3|0|0|2|0|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on switch"|"very go"
36|"12"|"5918"|0|0|1|1|0|0|0|0|0|0|0|1|0|0|2|0|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on switch"|""
37|"12"|"6886"|1|1|0|0|0|0|0|0|0|0|0|0|4|0|0|0|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|1|0|"Picked up cubes from"|"Can score on medium "|"ramps sseem unfit to hold bots"
38|"12"|"6424"|0|1|0|0|0|0|0|0|0|0|0|3|3|0|0|1|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on high sc"|""
39|"12"|"6843"|1|1|1|1|0|0|0|0|0|0|0|1|0|0|0|1|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Received cubes from "|"Can score on low sca"|"Really nice auto"
40|"12"|"4786"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|"Did not"|0|1|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on exchang"|""
41|"12"|"5268"|1|1|0|0|1|1|0|0|0|0|0|0|0|0|2|0|"Did not"|0|1|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Did not use cubes"|"Can score on low sca"|""
42|"13"|"935"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"Did not"|0|1|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|"dead entire match"
43|"13"|"3184"|1|1|0|0|0|0|0|0|0|0|0|0|3|0|0|2|"Did not"|0|0|0|0|0|1|0|0|1|"Attempt"|0|0|0|"Picked up cubes from"|"Can score on medium "|""
44|"13"|"6317"|0|0|0|0|0|0|0|0|0|0|0|2|1|0|4|0|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on medium "|"good all rounder"
45|"13"|"2410"|0|0|1|1|0|0|0|0|0|0|0|2|0|0|0|2|"Did not"|0|0|0|0|0|0|0|0|0|"Center"|0|0|0|"Picked up cubes from"|"Can score on switch"|""
46|"13"|"1108"|0|1|0|0|1|0|0|0|0|0|0|0|0|1|0|6|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|"hard time picking up quick rotation otherwise"
47|"13"|"1806"|1|1|1|1|0|0|0|0|0|0|0|0|3|0|2|3|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on high sc"|"dropped a lot"
48|"14"|"1997"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"Did not"|0|1|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Did not use cubes"|"Can not/did not use "|""
49|"14"|"4455"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|2|0|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on exchang"|""
50|"14"|"938"|1|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on switch"|""
51|"14"|"1847"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|2|0|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Did not use cubes"|"Can score on exchang"|"very tippy only pushed cubes  "
52|"14"|"1769"|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|"Did not"|0|0|0|0|0|0|0|0|1|"Center"|0|0|0|"Only used cube they "|"Can not/did not use "|"had trouble with picking up cubes"
53|"14"|"967"|1|1|0|0|0|0|0|0|0|0|0|1|2|0|0|2|"Did not"|0|0|0|0|1|0|0|0|0|"Center"|0|0|0|"Picked up cubes from"|"Can score on medium "|"tippy"
54|"15"|"1994"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"Did not"|0|1|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can not/did not use "|"ran for 15 sec, arm looked to b moving too fast"
55|"15"|"1939"|1|1|0|0|0|0|0|0|0|0|0|2|2|0|0|1|"Did not"|0|0|0|0|0|0|0|0|0|"Failed"|0|0|0|"Picked up cubes from"|"Can score on high sc"|""
56|"15"|"4388"|0|1|0|0|0|0|0|0|0|0|0|1|2|2|1|0|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on high sc"|""
57|"15"|"5268"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|6|0|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on switch"|""
58|"15"|"2001"|1|1|0|0|0|0|0|0|0|0|0|0|0|0|2|0|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on exchang"|"did a lot f standing"
